year	school_view	student_view
2005	1057	495328
2006	1072	495389
2007	1075	494497
2008	1090	492295
2009	1097	492481
2010	1115	489462
2011	1088	490619
2012	1078	493650
2013	1074	492586
2014	1107	490917
