year	Qualify	Do-not Qualify
2005	344256	495328
2006	334488	495389
2007	330778	494497
2008	336269	492295
2009	344894	492481
2010	345734	489462
2011	348664	490619
2012	353194	493650
2013	355484	492586
2014	361714	490917
