year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	887	0	253350	6959	0	230238
2006	953	0	251498	8362	0	230474
2007	971	0	250160	9496	0	229537
2008	949	4438	248452	10525	0	227931
2009	936	4500	246652	11051	2487	226855
2010	930	4645	244006	12332	2249	225300
2011	958	4828	243438	12609	3043	225743
2012	975	4931	239530	13230	4314	222074
2013	1001	4974	238186	14131	5520	219862
2014	1125	5146	242228	15882	4910	221626
