year	Qualify	Do-not Qualify
2005	211637	403658
2006	59319	99496
2007	36352	50439
2009	1140516	1938695
2010	740521	1250460
2011	87207	134025
2012	121746	201192
2013	894368	1558919
2014	443089	780199
