year	Urban	Suburban	Rural	Town
2005	0	905	539	216
2006	26796	29860	32638	15353
2007	26918	30078	32698	15500
2008	26883	29805	33434	15186
2009	27031	29557	33950	15000
2010	27014	29732	34122	14840
2011	27200	29629	34441	14448
2012	27784	33925	28988	14504
2013	27821	33836	28807	14483
2014	0	1696	707	438
