year	Qualify	Do-not Qualify
2005	20376070	49690751
2006	20839673	49737966
2007	20409252	49533495
2008	22022113	49692885
2009	22887043	49620801
2010	24038072	49721403
2011	22811973	49732437
2012	25753634	49931657
2013	26099009	50176677
2014	26201180	50399178
