year	school_view	student_view
2005	102445	49690751
2006	103584	49737966
2007	103802	49533495
2008	103764	49692885
2009	103912	49620801
2010	103756	49721403
2011	103419	49732437
2012	102821	49931657
2013	102746	50176677
2014	102735	50399178
