year	CMO	EMO	Freestanding
2005	1	2	328
2006	1	0	349
2007	434	465	3397
2008	623	584	3429
2009	620	727	3566
2010	628	999	3629
2011	693	1019	3906
2012	5	4	413
2013	5	2	423
2014	960	1680	3959
