year	Qualify	Do-not Qualify
2005	262617	855412
2006	268705	859031
2007	275277	858966
2008	283482	852561
2009	311351	861721
2010	320852	862591
2011	327364	865819
2012	340474	873090
2013	344396	879794
2014	346878	887535
