year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	17857	0	76760	46442	0	664766
2006	18173	0	81711	49737	0	658566
2007	18378	0	84647	52525	0	650850
2008	18284	54665	85975	55482	0	638155
2009	18883	56382	88350	58816	0	639290
2010	17267	54141	84053	61621	15651	629858
2011	15421	56464	85108	64120	20147	624559
2012	15176	57616	87760	66943	24644	620951
2013	15126	58636	91623	72186	29217	613006
2014	15048	59488	95890	75647	32981	608481
