year	school_view	student_view
2005	2886	855412
2006	3010	859031
2007	2898	858966
2008	2882	852561
2009	2628	861721
2010	2594	862591
2011	2593	865819
2012	2589	873090
2013	2647	879794
2014	2668	887535
