year	Qualify	Do-not Qualify
2005	377543	1042191
2006	397716	1053514
2007	417458	1057047
2008	447491	1061758
2009	486974	1065264
2010	500401	1064148
2011	516468	1066049
2012	531513	1073834
2013	538209	1082937
2014	537413	1083261
