year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	2643	0	133158	59739	0	833956
2006	2743	0	132904	64277	0	804271
2007	2840	0	134305	68701	0	797334
2008	2790	15317	137278	72200	0	790375
2009	2950	16651	138985	75649	0	783340
2010	3409	17579	136716	89443	47127	767858
2011	3075	18587	140000	95516	46267	762604
2012	2901	19578	142374	103124	47149	757848
2013	2648	20907	144035	109922	48520	755718
2014	2460	21952	144424	115933	49874	748618
