year	school_view	student_view
2005	2061	1042191
2006	2049	1053514
2007	2025	1057047
2008	2044	1061758
2009	2044	1065264
2010	2059	1064148
2011	2035	1066049
2012	2025	1073834
2013	2022	1082937
2014	2001	1083261
