year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	129	0	8	26	0	247	410
2006	122	12	4	5	0	271	414
2007	140	12	6	14	0	273	445
2008	252	16	10	30	0	300	608
2009	198	14	16	38	6	266	538
2010	180	6	20	38	10	262	516
2011	162	10	20	52	14	354	612
2012	133	24	50	110	18	467	804
2013	72	34	64	144	24	588	926
2014	114	30	48	160	32	534	918
