year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	1192	0	4445	8556	0	38596
2006	1198	0	4366	8364	0	37060
2007	1246	0	4296	8535	0	36678
2008	1208	135719	4313	8578	0	36916
2009	1178	136360	4334	8575	0	38104
2010	1174	130308	4579	8189	15454	28186
2011	1086	129980	4543	12048	15492	28721
2012	1022	126976	4207	15773	17926	28268
2013	841	124772	4001	19395	19245	28172
2014	707	119489	3754	20524	21072	27273
