year	Qualify	Do-not Qualify
2005	77012	191423
2006	76172	187070
2007	69197	186560
2008	78219	186734
2009	80990	188551
2010	87835	187890
2011	94231	191870
2012	98350	194395
2013	99216	196641
2014	96832	192819
