year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	1057	0	3964	1846	0	185945
2006	1394	0	4467	1964	0	183419
2007	1430	0	4914	2093	0	179424
2008	1569	2962	5232	2221	0	175500
2009	1309	3199	5438	2256	0	172030
2010	1151	2074	3319	2713	4472	169748
2011	1201	2940	5371	2861	2016	164600
2012	1186	2989	5579	3130	2543	164924
2013	1173	2920	5791	3285	2933	163124
2014	1120	2850	5857	3488	3289	161540
