year	Qualify	Do-not Qualify
2005	65993	195498
2006	67289	193986
2007	68814	190737
2008	71407	187484
2009	76715	184232
2010	78915	183477
2011	8588	178989
2012	80478	180380
2013	81334	179226
2014	83882	178144
