year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	4751	0	21716	32887	0	222093
2006	4940	0	22227	35172	0	219896
2007	4974	0	23286	37590	0	219695
2008	5015	6062	23610	39568	0	218335
2009	5132	6438	23657	42169	0	217865
2010	4410	6349	19985	47861	8636	211035
2011	4381	6631	20262	49405	9211	211406
2012	4316	6975	20194	50863	9722	210882
2013	4383	7484	20522	53309	10101	211878
2014	4449	8019	21010	55458	10579	213120
