year	Qualify	Do-not Qualify
2005	99387	286646
2006	104783	287580
2007	108986	291244
2008	112293	292590
2009	121811	295261
2010	127114	298276
2011	132010	301296
2012	133861	302952
2013	138323	307677
2014	138379	312635
