year	school_view	student_view
2005	1288	286646
2006	1268	287580
2007	1202	291244
2008	1159	292590
2009	1145	295261
2010	1131	298276
2011	1115	301296
2012	1103	302952
2013	1115	307677
2014	1128	312635
