year	Urban	Suburban	Rural	Town

2006	209	73	745	239
2007	213	71	684	234
2008	211	71	645	232
2009	219	67	627	232
2010	215	70	617	228
2011	219	71	605	220
2012	241	94	545	223
2013	247	100	549	219

