year	CMO	EMO	Freestanding
2005	0	0	121
2006	0	0	144
2007	6	0	277
2008	6	0	294
2009	4	0	312
2010	8	0	326
2011	8	2	343
2012	0	0	179
2013	0	0	175
2014	12	24	375
