year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	9702	0	50305	221006	0	516123
2006	9854	0	51851	231950	0	524986
2007	10003	0	52693	237586	0	528842
2008	10169	31730	54034	249009	0	537366
2009	10322	33509	54510	255024	0	545367
2010	8051	28859	45179	287175	25445	521550
2011	7758	31423	45938	296165	28459	526863
2012	7296	32534	45891	305542	31062	529956
2013	7115	32337	46212	315540	33807	534028
2014	7119	33158	47439	326827	36398	539073
