year	school_view	student_view
2005	1851	824080
2006	1905	847023
2007	1927	858860
2008	1992	882308
2009	1976	898732
2010	2004	916259
2011	2018	936606
2012	2028	952281
2013	2054	969039
2014	2085	990014
