year	Qualify	Do-not Qualify
2005	268564	824080
2006	283675	847023
2007	289680	858860
2008	307625	882308
2009	339300	898732
2010	358767	916259
2011	375707	936606
2012	389505	952281
2013	399381	969039
2014	405091	990014
