year	Qualify	Non-Qualify
2005	1851	1705
2006	454	4315
2007	3194	2595
2008	1998	5310
2009	814	9498
2010	1680	12539
2011	4174	14415
2012	19108	3801
2013	26418	4888
2014	33674	10172
