year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	0	2	3473	30	0	51	3556
2006	2	0	4687	32	0	48	4769
2007	4	4	5622	86	0	73	5789
2008	6	6	7050	142	0	104	7308
2009	6	12	9916	180	0	198	10312
2010	6	34	13604	259	5	307	14219
2011	12	56	17154	749	55	553	18589
2012	21	77	20239	1501	100	959	22909
2013	22	130	27112	2600	108	1322	31306
2014	38	200	36782	4400	248	2160	43846
