year	CMO	EMO	Freestanding
2005	0	0	0
2006	0	0	0
2007	0	2	22
2008	0	4	28
2009	0	4	40
2010	0	9	50
2011	0	13	66
2012	0	0	0
2013	0	0	0
2014	0	75	69
