year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	645	0	3552	5693	0	192020
2006	652	0	3697	5924	0	188962
2007	629	0	3879	6165	0	186126
2008	647	4776	4103	6556	0	182154
2009	677	5027	4015	6937	1403	179515
2010	647	5372	3814	7237	2865	174546
2011	612	5563	3686	7420	3596	170536
2012	581	5691	3578	7800	4008	167329
2013	570	5767	3516	8228	4320	164266
2014	545	5912	3509	8735	4698	161996
