year	Qualify	Non-Qualify
2005	2522	20356
2006	7812	29872
2007	6454	32916
2008	11434	43254
2009	21500	46436
2010	22658	57066
2011	35264	54110
2012	47908	53480
2013	34074	75516
2014	37876	84946
