year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	320	698	376	1452	0	20032	22878
2006	366	1188	568	2542	0	33020	37684
2007	416	1264	636	3286	0	33176	39370
2008	487	1685	795	4905	0	45990	54688
2009	552	1932	934	5576	0	48754	67936
2010	520	1492	1184	7818	742	66908	79724
2011	494	1722	1094	10050	1532	73258	89374
2012	524	2050	1242	12538	2128	81258	101388
2013	524	2504	1370	14560	2598	86346	109590
2014	578	2752	1778	18380	3140	94222	122822
