year	CMO	EMO	Freestanding
2005	0	0	0
2006	0	0	0
2007	0	0	116
2008	12	0	121
2009	12	0	132
2010	2	0	154
2011	4	0	158
2012	0	0	0
2013	0	0	0
2014	28	2	190
