year	Qualify	Non-Qualify
2005	28644	82616
2006	12092	107860
2007	12784	121766
2008	18952	127150
2009	80058	78276
2010	98712	82514
2011	119836	90098
2012	133422	103243
2013	151500	105902
2014	171058	94474
