year	CMO	EMO	Freestanding
2005	0	0	2
2006	0	0	2
2007	20	18	212
2008	34	20	200
2009	36	22	210
2010	34	42	212
2011	44	46	234
2012	0	0	4
2013	0	0	4
2014	48	80	224
