year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	24	66	3462	117	0	4634	8409
2006	36	118	4598	180	0	5493	10425
2007	38	148	4898	234	0	5785	11157
2008	110	207	6400	412	0	10045	17450
2009	238	357	8096	658	0	16386	26263
2010	136	278	9176	938	741	21758	33087
2011	92	328	9755	1256	806	21974	34263
2012	134	392	11082	1826	1044	25800	40334
2013	157	568	12055	2444	1204	30328	46834
2014	220	788	13792	3126	1608	34484	54110
