year	CMO	EMO	Freestanding
2005	0	0	0
2006	0	0	0
2007	0	0	58
2008	6	0	66
2009	6	0	70
2010	6	0	83
2011	6	0	88
2012	0	0	0
2013	0	0	0
2014	8	2	122
