year	Qualify	Non-Qualify
2005	3222	1920
2006	3258	2366
2007	3806	2184
2008	3946	2310
2009	4418	2486
2010	5124	2562
2011	5921	2881
2012	6655	2840
2013	7348	3432
2014	7886	3743
