year	CMO	EMO	Freestanding
2005	0	0	0
2006	0	0	0
2007	0	0	22
2008	0	0	22
2009	0	0	26
2010	0	0	29
2011	0	0	31
2012	0	0	0
2013	0	0	0
2014	0	2	40
