year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	48	158	1214	2186	0	1536	5142
2006	82	178	1242	2442	0	1680	5624
2007	88	194	1252	2682	0	1774	5990
2008	86	206	1296	2848	0	1820	6256
2009	92	186	1406	3152	0	2068	6904
2010	60	183	1351	3719	182	2191	7686
2011	57	184	1477	4420	226	2434	8802
2012	67	173	1660	4612	226	2751	9495
2013	95	183	1830	5665	336	2663	10780
2014	103	188	1901	6278	395	2756	11629
