year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	6741	0	46287	139339	0	193270
2006	6868	0	47966	150648	0	189867
2007	6717	0	47925	157103	0	186173
2008	6669	35031	48333	160280	0	185462
2009	6609	36218	49410	163295	0	184367
2010	5812	31693	43463	170410	18836	173554
2011	5214	31021	42804	176115	23367	172177
2012	5219	32006	44060	180056	24530	172870
2013	5022	32480	45622	185486	25594	172557
2014	4863	32880	47996	192601	27799	173055
