year	Qualify	Do-not Qualify
2005	171053	415770
2006	0	427654
2007	169612	431872
2008	169350	435775
2009	183519	439899
2010	220942	443768
2011	238942	450698
2012	233666	459458
2013	243272	467586
2014	244327	480017
