year	CMO	EMO	Freestanding
2005	0	1	60
2006	0	0	82
2007	6	62	322
2008	8	52	319
2009	6	48	324
2010	2	36	333
2011	4	92	325
2012	0	1	124
2013	0	1	132
2014	17	164	236
