year	Qualify	Non-Qualify
2005	84878	46598
2006	95715	66276
2007	116441	60145
2008	124381	66527
2009	137408	76963
2010	148006	87909
2011	160168	99503
2012	206842	82001
2013	219876	90821
2014	234773	101783
