year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	3017	0	85936	129467	0	713575
2006	2806	0	85375	133984	0	702806
2007	2726	0	84964	139033	0	692835
2008	2701	51497	85161	143507	20305	681893
2009	2602	53213	85145	148185	22114	672941
2010	2448	55211	86090	153913	23686	662118
2011	2388	56983	87127	160305	25110	651068
2012	2374	59044	89949	164569	26915	641572
2013	2291	61129	91953	171345	28853	632228
2014	2353	62810	93474	181081	30729	621030
