year	Qualify	Do-not Qualify
2005	284024	993672
2006	290651	991970
2007	294782	987644
2008	306589	985064
2009	327836	984200
2010	340864	983466
2011	350045	983720
2012	368953	985499
2013	383349	988938
2014	400943	991477
