year	school_view	student_view
2005	2632	1410539
2006	2657	1402923
2007	2676	1397351
2008	2684	1399144
2009	2700	1408163
2010	2718	1380136
2011	2730	1377546
2012	2716	1401553
2013	2702	1405092
2014	2686	1406256
