year	Qualify	Do-not Qualify
2005	383249	1410539
2006	389239	1402923
2007	399443	1397351
2008	427858	1399144
2009	460415	1408163
2010	460862	1380136
2011	484756	1377546
2012	527227	1401553
2013	542473	1405092
2014	529682	1406256
