year	Qualify	Do-not Qualify
2005	154727	481619
2006	155559	482387
2007	162040	482895
2008	166121	483159
2009	180200	482456
2010	188738	485154
2011	194482	485761
2012	200693	490982
2013	202345	494885
2014	202532	497185
