year	school_view	student_view
2005	1571	481619
2006	1559	482387
2007	1552	482895
2008	1536	483159
2009	1510	482456
2010	1498	485154
2011	1459	485761
2012	1432	490982
2013	1416	494885
2014	1397	497185
