year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	2840	0	24442	28035	0	416982
2006	2834	0	25838	29944	0	414225
2007	2964	0	27408	31638	0	410826
2008	2735	10461	28026	33644	0	408293
2009	2471	9969	24663	38944	9714	396695
2010	2315	10464	24827	41395	10825	395328
2011	2191	10858	24868	43388	12714	391742
2012	2081	11441	25453	45951	14369	391687
2013	1947	11992	26479	48105	15694	390668
2014	1956	12512	27222	49678	16832	388985
