year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	16422	0	1306	3484	0	122546
2006	16502	0	1397	3635	0	121169
2007	16260	0	1365	3607	0	119933
2008	16198	1674	1458	3757	0	118812
2009	16724	1769	1614	3916	0	117784
2010	15734	1561	1378	4996	2197	115827
2011	16530	1581	1436	5248	2370	115184
2012	16228	1529	1399	5644	3014	115094
2013	16297	1507	1351	5951	3737	115286
2014	16391	1486	1391	6224	4059	114981
