year	Qualify	Do-not Qualify
2005	50172	145416
2006	50656	144418
2007	50936	142823
2008	52021	141899
2009	56201	141807
2010	57836	141693
2011	57349	142349
2012	60261	142908
2013	59910	144129
2014	63014	144532
