year	Qualify	Do-not Qualify
2005	404402	662712
2006	428406	693248
2007	447145	702520
2008	465103	710757
2009	479180	722208
2010	490414	732727
2011	506683	746631
2012	496144	742517
2013	501006	745522
2014	504164	786571
