year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	5147	0	296380	13674	0	338881
2006	5292	0	319919	16410	0	341774
2007	5484	0	329552	18927	0	338442
2008	5692	10370	336397	20512	0	337786
2009	5792	10947	343380	22976	0	339113
2010	6695	11247	345827	18835	7473	342650
2011	5586	11447	350207	29604	8623	339421
2012	5475	11578	343275	32213	10115	339861
2013	5357	11903	342195	35773	11921	338373
2014	5283	12275	368765	42936	13081	344231
