year	school_view	student_view
2005	1594	662712
2006	1590	693248
2007	1611	702520
2008	1725	710757
2009	1755	722208
2010	1599	732727
2011	1584	746631
2012	1561	742517
2013	1555	745522
2014	1551	786571
