year	CMO	EMO	Freestanding
2005	0	0	12
2006	0	0	12
2007	2	6	94
2008	6	10	112
2009	8	10	136
2010	8	70	102
2011	10	65	122
2012	0	0	38
2013	0	0	44
2014	62	100	92
