year	school_view	student_view
2005	2567	1624752
2006	2643	1652617
2007	2668	1680887
2008	2657	1693374
2009	2694	1709474
2010	2629	1720032
2011	2640	1743521
2012	2519	1767122
2013	2500	1794521
2014	2444	1816579
