year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	2385	0	621344	137587	0	778411
2006	2371	0	631556	152154	0	773644
2007	2591	0	641020	163343	0	772339
2008	2672	53939	641270	170004	0	770339
2009	4530	56956	642161	193065	47725	765037
2010	4037	58960	641168	204973	51301	759593
2011	3888	61680	646195	211794	51613	766364
2012	3754	63670	653200	224405	53863	768230
2013	3990	65921	666157	236758	55597	766098
2014	3760	67612	673591	252805	58952	759859
