year	Qualify	Do-not Qualify
2005	806420	1624752
2006	829201	1652617
2007	853505	1680887
2008	893966	1693374
2009	954376	1709474
2010	982449	1720032
2011	1016454	1743521
2012	1049778	1767122
2013	1110714	1794521
2014	1130017	1816579
