year	Qualify	Do-not Qualify
2005	640203	1780189
2006	654225	1787043
2007	665792	1739318
2008	728343	1706723
2009	791796	1692287
2010	771798	1629879
2011	788098	1612121
2012	786321	1601627
2013	791370	1599312
2014	759072	1587473
