year	school_view	student_view
2005	4356	1780189
2006	4426	1787043
2007	4392	1739318
2008	4416	1706723
2009	4393	1692287
2010	4351	1629879
2011	4167	1612121
2012	3886	1601627
2013	3913	1599312
2014	3884	1587473
