year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	1106	0	67934	13157	0	553617
2006	914	0	68254	14965	0	544862
2007	880	0	71078	17754	0	557524
2008	871	7490	72118	19502	0	555503
2009	919	8311	72027	21750	0	556363
2010	941	9543	72915	26188	12080	551461
2011	960	9875	73376	29457	14908	553067
2012	903	10262	73309	32801	17347	550051
2013	865	10548	72904	35487	19499	544176
2014	856	11124	72819	38547	21613	543681
